ID,Name,Center,CategoryId,CategoryName,SellingPrice,CostPrice,QtyInStock,QtyReceived,BarVisible,RestaurantVisible,COSPercent,GPAmount,GPPercent,Notes,TotalValue,TotalCost,Margin
ITEM_1773159790703,1/4 Chicken,restaurant,CAT_1773150367197,Mains,4,0,0,0,No,Yes,0,0,0,,0,0,0
ITEM_1773168615340,1/4 Chicken & Chips,restaurant,CAT_1773150367197,Mains,6,0,0,0,No,Yes,0,0,0,,0,0,0
ITEM_1775477712448,Absolate Vodka,bar,CAT_1775468765787,Vodka,3,0,0,0,Yes,No,0,0,0,,0,0,0
ITEM_1775473073791,Amarula,bar,CAT_1775468495268,Liqueur,2,0,0,0,Yes,No,0,0,0,,0,0,0
ITEM_1775471927235,Amstel Lager,bar,CAT_1775468441296,Imported Beers,2,0,0,0,Yes,No,0,0,0,,0,0,0
ITEM_1775476324593,Barcardi Dark Rum,bar,CAT_1775468644566,Rum,2,0,0,0,Yes,No,0,0,0,,0,0,0
ITEM_1775479333551,Barcardi Gold Rum,bar,CAT_1775468644566,Rum,2,0,0,0,Yes,No,0,0,0,,0,0,0
ITEM_1773169659038,Beef Burger,restaurant,CAT_1773150367197,Mains,8,0,0,0,No,Yes,0,0,0,,0,0,0
ITEM_1775465346347,Belgravia Dry lemon,bar,CAT_1775468392932,Coolers,2.5,0,0,0,Yes,No,0,0,0,,0,0,0
ITEM_1775465458659,Belgravia Dry Lemon,bar,CAT_1775468392932,Coolers,2.5,0,0,0,Yes,No,0,0,0,,0,0,0
ITEM_1775473616269,Black Label Bottle,bar,CAT_1775468530499,Local Beers,2,0,0,0,Yes,No,0,0,0,,0,0,0
ITEM_1775475912693,Bon Courage Cabernet Savignon,bar,CAT_1775468591726,Red Wines,25,0,0,0,Yes,No,0,0,0,,0,0,0
ITEM_1775727530689,Braai ( Pork Chop & Tbone),restaurant,CAT_1773150367197,Mains,5,0,0,0,No,Yes,0,0,0,,0,0,0
ITEM_1775726231166,Braai (Chicken & Pork Chops),restaurant,CAT_1773150367197,Mains,5,0,0,0,No,Yes,0,0,0,,0,0,0
ITEM_1775726076465,Braai (Tbone and Sausage),restaurant,CAT_1773150367197,Mains,5,0,0,0,No,Yes,0,0,0,,0,0,0
ITEM_1775725714210,Bream Cutlets,restaurant,CAT_1773150367197,Mains,6,0,0,0,No,Yes,0,0,0,,0,0,0
ITEM_1775466534321,Brutal Fruit Can,bar,CAT_1775468392932,Coolers,2.5,0,0,0,Yes,No,0,0,0,,0,0,0
ITEM_1775476393240,Captain Morgan Spiced Rum,bar,CAT_1775468644566,Rum,2,0,0,0,Yes,No,0,0,0,,0,0,0
ITEM_1775473740555,Castle Lager,bar,CAT_1775468530499,Local Beers,2,0,0,0,Yes,No,0,0,0,,0,0,0
ITEM_1775473801973,Castle Lite Can,bar,CAT_1775468530499,Local Beers,2,0,0,0,Yes,No,32.5,1.35,67.5,,0,0,0
ITEM_1773159849137,Castle Pint,bar,CAT_1775468530499,Local Beers,2,0,0,0,Yes,No,28,1.44,72,,0,0,0
ITEM_1773156764642,Coke,bar,CAT_1775468724190,Soft Drinks,1,0,0,0,Yes,No,43,0.57,57,,0,0,0
ITEM_1775476966746,Coke Can,bar,CAT_1775468724190,Soft Drinks,1,0,0,0,Yes,No,46,0.54,54,,0,0,0
ITEM_1773168691491,Coke Can,bar,CAT_1775468724190,Soft Drinks,1,0,0,0,Yes,No,43,0.57,57,,0,0,0
ITEM_1775477211309,Coke Zero,bar,CAT_1775468724190,Soft Drinks,1,0,0,0,Yes,No,46,0.54,54,,0,0,0
ITEM_1775472528019,Corona Extra,bar,CAT_1775468441296,Imported Beers,3,0,0,0,Yes,No,37.33,1.88,62.67,,0,0,0
ITEM_1775477083637,Creamsoda Can,bar,CAT_1775468724190,Soft Drinks,1,0,0,0,Yes,No,43,0.57,57,,0,0,0
