ID,Name,Center,CategoryId,CategoryName,SellingPrice,CostPrice,QtyInStock,QtyReceived,BarVisible,RestaurantVisible,COSPercent,GPAmount,GPPercent,Notes,TotalValue,TotalCost,Margin
ITEM_1769873260725,1/4 Chicken,restaurant,CAT_1769871498245,Mains,8.0,2.7,0,0,No,Yes,33.75,5.3,66.25,,0,0,0
855,ABSOLUT VODKA,bar,CAT_1769874893101,Vodka,3.0,1.67,0,0,Yes,No,55.67,1.33,44.33,,0,0,0
351,ACTIVE 8,bar,CAT_1769874627165,Energy Drinks,2.0,0.8,0,0,Yes,No,40.0,1.2,60.0,,0,0,0
507,AMARULA CREAM,bar,CAT_1769874698557,Liquor,2.0,0.72,0,0,Yes,No,36.0,1.28,64.0,,0,0,0
654,BACARDI WHIE RUM,bar,CAT_1769874739061,Rum,2.0,0.62,0,0,Yes,No,31.0,1.38,69.0,,0,0,0
211,BAHAMUS,bar,CAT_1769874491709,Ciders,2.0,1.25,0,0,Yes,No,62.5,0.75,37.5,,0,0,0
955,BALLANTINES,bar,CAT_1769874497293,Wines,2.0,0.72,0,0,Yes,No,0.0,1.28,64.0,,0,0,0
ITEM_1769872136197,Beef Burger,restaurant,CAT_1769871498245,Mains,10.0,2.5,0,0,No,Yes,25.0,7.5,75.0,,0,0,0
203,BELGRAVIA GIN & LEMON,bar,CAT_1769874497293,Wines,2.0,1.25,0,0,Yes,No,0.0,0.75,37.5,,0,0,0
407,BELGRAVIA L.DRY GIN,bar,CAT_1769874497293,Wines,2.0,0.38,0,0,Yes,No,0.0,1.62,81.0,,0,0,0
954,BELLS,bar,CAT_1769874497293,Wines,2.0,0.72,0,0,Yes,No,36.0,1.28,64.0,,0,0,0
205,BERNINI,bar,CAT_1769874497293,Wines,2.0,1.25,0,0,Yes,No,0.0,0.75,37.5,,0,0,0
961,BEST WHISKY,bar,CAT_1769874497293,Wines,1.0,0.57,0,0,Yes,No,0.0,0.43,43.0,,0,0,0
702,BILTONG 100g,bar,CAT_1769874497293,Wines,3.0,1.5,0,0,Yes,No,0.0,1.5,50.0,,0,0,0
701,BILTONG 50g,bar,CAT_1769874497293,Wines,5.0,3.0,0,0,Yes,No,0.0,2.0,40.0,,0,0,0
108,BLACK LABEL BEER,bar,CAT_1769874497293,Wines,2.0,0.8,0,0,Yes,No,0.0,1.2,60.0,,0,0,0
153,BLOEMFONTEIN,bar,CAT_1769874497293,Wines,3.0,0.57,0,0,Yes,No,0.0,2.43,81.0,,0,0,0
109,BOHLINGERï¿½S,bar,CAT_1769874497293,Wines,2.0,1.0,0,0,Yes,No,0.0,1.0,50.0,,0,0,0
505,BOLS TRIPPE,bar,CAT_1769874497293,Wines,2.0,0.86,0,0,Yes,No,0.0,1.14,57.0,,0,0,0
513,BOLï¿½S BLUE CURACAO,bar,CAT_1769874497293,Wines,2.0,0.86,0,0,Yes,No,0.0,1.14,57.0,,0,0,0
504,BOLï¿½S CREï¿½ME DE MENTHE,bar,CAT_1769874497293,Wines,2.0,0.86,0,0,Yes,No,0.0,1.14,57.0,,0,0,0
408,BOMBAY SAPPHIRE GIN,bar,CAT_1769874497293,Wines,3.0,1.19,0,0,Yes,No,0.0,1.81,60.33,,0,0,0
202,BRUTAL FRUIT,bar,CAT_1769874497293,Wines,2.0,1.25,0,0,Yes,No,0.0,0.75,37.5,,0,0,0
110,BUDWEISER,bar,CAT_1769874497293,Wines,3.0,1.5,0,0,Yes,No,0.0,1.5,50.0,,0,0,0
512,CACTUS JACK,bar,CAT_1769874497293,Wines,2.0,0.86,0,0,Yes,No,0.0,1.14,57.0,,0,0,0
ITEM_1769873599629,Cake Of The Day,restaurant,CAT_1769871473629,Desserts,5.0,1.5,0,0,No,Yes,30.0,3.5,70.0,,0,0,0
651,CAPTAIN MORGAN DARK,bar,CAT_1769874497293,Wines,2.0,0.86,0,0,Yes,No,0.0,1.14,57.0,,0,0,0
652,CAPTAIN MORGAN SPICED,bar,CAT_1769874497293,Wines,2.0,0.86,0,0,Yes,No,0.0,1.14,57.0,,0,0,0
650,CARRIBEAN WHITE RUM,bar,CAT_1769874497293,Wines,2.0,0.57,0,0,Yes,No,0.0,1.43,71.5,,0,0,0
107,CASTLE,bar,CAT_1769874497293,Wines,2.0,0.8,0,0,Yes,No,0.0,1.2,60.0,,0,0,0
